Index1,Real,RealTTF,rank1_Freq.1,rank1_Freq.2,rank1_Freq.3,rank1_Freq.4,rank1_Freq.5,rank1_Freq.6,rank1_Freq.7,rank1_Freq.8,rank1_Freq.9,rank1_Freq.10,rank1_Freq.11,rank1_Freq.12,rank1_Freq.13,rank1_Freq.14,rank1_Freq.15,rank1_Freq.16,rank1_Freq.17,rank1_Freq.18,rank1_Freq.19,rank1_Freq.20,rank1_Freq.21,rank1_Freq.22,rank1_Freq.23,rank1_Freq.24,rank1_Freq.25,rank1_Freq.26,rank1_Freq.27,rank1_Freq.28,rank1_Freq.29,rank1_Freq.30,rank1_Freq.31,rank1_Freq.32,rank1_Freq.33,rank1_Freq.34,rank1_Freq.35,rank1_Freq.36,rank1_Freq.37,rank1_Freq.38,rank1_Freq.39,rank1_Freq.40,rank1_Freq.41,rank1_Freq.42,rank1_Freq.43,rank1_Freq.44,rank1_Freq.45,rank1_Freq.46,rank1_Freq.47,rank1_Freq.48,rank1_Freq.49,rank1_Freq.50,rank1_Freq.51,rank1_Freq.52,rank1_Freq.53,rank1_Freq.54,rank1_Freq.55,rank1_Freq.56,rank1_Freq.57,rank1_Freq.58,rank1_Freq.59,rank1_Freq.60,rank1_Freq.61,rank1_Freq.62,rank1_Freq.63,rank1_Freq.64,rank1_Freq.65,rank1_Freq.66,rank1_Freq.67,rank1_Freq.68,rank1_Freq.69,rank1_Freq.70,rank1_Freq.71,rank1_Freq.72,rank1_Freq.73,rank1_Freq.74,rank1_Freq.75,rank1_Freq.76,rank2_ttf.1,rank2_ttf.2,rank2_ttf.3,rank2_ttf.4,rank2_ttf.5,rank2_ttf.6,rank2_ttf.7,rank2_ttf.8,rank2_ttf.9,rank2_ttf.10,rank2_ttf.11,rank2_ttf.12,rank2_ttf.13,rank2_ttf.14,rank2_ttf.15,rank2_ttf.16,rank2_ttf.17,rank2_ttf.18,rank2_ttf.19,rank2_ttf.20,rank2_ttf.21,rank2_ttf.22,rank2_ttf.23,rank2_ttf.24,rank2_ttf.25,rank2_ttf.26,rank2_ttf.27,rank2_ttf.28,rank2_ttf.29,rank2_ttf.30,rank2_ttf.31,rank2_ttf.32,rank2_ttf.33,rank2_ttf.34,rank2_ttf.35,rank2_ttf.36,rank2_ttf.37,rank2_ttf.38,rank2_ttf.39,rank2_ttf.40,rank2_ttf.41,rank2_ttf.42,rank2_ttf.43,rank2_ttf.44,rank2_ttf.45,rank2_ttf.46,rank2_ttf.47,rank2_ttf.48,rank2_ttf.49,rank2_ttf.50,rank2_ttf.51,rank2_ttf.52,rank2_ttf.53,rank2_ttf.54,rank2_ttf.55,rank2_ttf.56,rank2_ttf.57,rank2_ttf.58,rank2_ttf.59,rank2_ttf.60,rank2_ttf.61,rank2_ttf.62,rank2_ttf.63,rank2_ttf.64,rank2_ttf.65,rank2_ttf.66,rank2_ttf.67,rank2_ttf.68,rank2_ttf.69,rank2_ttf.70,rank2_ttf.71,rank2_ttf.72,rank2_ttf.73,rank2_ttf.74,rank2_ttf.75,rank2_ttf.76,rank3_spread.1,rank3_spread.2,rank3_spread.3,rank3_spread.4,rank3_spread.5,rank3_spread.6,rank3_spread.7,rank3_spread.8,rank3_spread.9,rank3_spread.10,rank3_spread.11,rank3_spread.12,rank3_spread.13,rank3_spread.14,rank3_spread.15,rank3_spread.16,rank3_spread.17,rank3_spread.18,rank3_spread.19,rank3_spread.20,rank3_spread.21,rank3_spread.22,rank3_spread.23,rank3_spread.24,rank3_spread.25,rank3_spread.26,rank3_spread.27,rank3_spread.28,rank3_spread.29,rank3_spread.30,rank3_spread.31,rank3_spread.32,rank3_spread.33,rank3_spread.34,rank3_spread.35,rank3_spread.36,rank3_spread.37,rank3_spread.38,rank3_spread.39,rank3_spread.40,rank3_spread.41,rank3_spread.42,rank3_spread.43,rank3_spread.44,rank3_spread.45,rank3_spread.46,rank3_spread.47,rank3_spread.48,rank3_spread.49,rank3_spread.50,rank3_spread.51,rank3_spread.52,rank3_spread.53,rank3_spread.54,rank3_spread.55,rank3_spread.56,rank3_spread.57,rank3_spread.58,rank3_spread.59,rank3_spread.60,rank3_spread.61,rank3_spread.62,rank3_spread.63,rank3_spread.64,rank3_spread.65,rank3_spread.66,rank3_spread.67,rank3_spread.68,rank3_spread.69,rank3_spread.70,rank3_spread.71,rank3_spread.72,rank3_spread.73,rank3_spread.74,rank3_spread.75,rank3_spread.76
A,4,5,6,3,7,4,11,4,9,8,11,10,2,12,1,5,3,6,9,13,1,3,9,1,8,9,6,5,3,6,1,11,1,9,11,6,1,1,12,9,7,16,6,13,12,7,3,4,6,8,7,3,8,2,2,11,7,9,2,6,4,7,14,13,2,4,2,2,5,4,8,7,3,4,5,4,16,2,12,12,7,9,5,6,8,17,10,12,3,4,9,10,14,10,5,18,2,1,12,14,17,8,14,4,2,9,15,9,10,5,16,16,6,10,11,11,13,17,11,7,7,9,9,9,10,7,9,3,9,17,13,15,2,10,3,13,9,7,1,7,13,12,2,7,9,1,6,11,13,12,1,11,18,9,1,9,7,2,2,5,6,6,5,5,6,12,8,5,3,5,8,14,11,9,12,7,5,15,8,1,3,7,1,10,3,14,4,4,2,10,11,3,7,16,5,8,7,9,10,6,8,11,4,4,8,3,1,1,9,16,2,9,1,11,14,18,1,6,1,3,1,8,7,3,4,1,4,4,16,1
B,6,1,5,4,7,11,7,3,2,9,3,7,5,3,4,10,2,3,4,3,12,1,4,2,10,7,4,3,1,1,3,8,4,1,2,1,2,1,1,5,3,2,2,2,5,1,4,2,3,9,1,1,3,5,3,4,1,1,6,1,5,3,7,8,2,2,1,1,2,1,1,2,2,2,1,6,3,1,4,13,7,2,1,4,1,14,3,14,16,1,11,2,2,2,3,7,11,13,5,2,14,3,9,4,2,2,9,7,15,3,8,9,5,6,8,9,12,1,5,1,2,3,8,7,8,8,1,1,1,6,9,1,1,15,1,5,2,7,7,10,7,1,1,6,3,1,1,1,1,6,1,9,9,16,6,7,7,10,4,7,7,8,1,3,11,2,5,7,1,3,4,5,13,1,6,8,11,7,4,1,1,1,5,6,4,4,2,1,1,1,2,5,5,10,8,1,4,3,5,3,5,15,1,1,4,5,7,2,1,3,3,1,3,4,8,3,1,2,1,1,3,1,3,2,4,1,1,6,1,7
C,1,17,3,17,1,8,8,11,1,15,12,13,1,3,1,13,5,6,14,18,2,12,13,14,13,1,1,16,10,8,7,1,2,3,1,15,15,18,17,10,4,1,15,11,1,7,11,1,9,2,12,9,6,1,4,10,4,3,9,18,13,15,9,1,2,1,5,4,1,11,8,1,1,1,2,1,6,5,3,18,1,18,14,11,18,9,11,10,2,11,13,18,7,18,6,8,15,15,14,17,8,1,12,18,10,15,17,12,8,12,5,7,14,12,16,11,3,8,12,18,4,9,11,1,15,1,11,8,10,10,9,7,12,16,13,16,13,13,11,6,17,7,4,11,9,13,6,4,6,14,3,7,2,18,7,17,1,1,11,11,10,13,12,12,4,2,2,17,4,4,13,13,1,15,15,9,9,1,1,16,11,9,4,1,2,1,1,9,15,18,16,14,3,2,13,14,1,10,15,1,4,1,10,8,6,1,4,10,3,1,8,15,10,16,5,1,1,2,3,5,1,11,4,1,1,9,2,2,5,1
D,12,1,13,18,7,13,14,16,13,11,8,17,11,16,5,13,15,15,16,1,11,13,16,18,15,6,8,6,15,10,17,17,18,15,13,15,16,11,15,3,14,12,7,17,10,14,14,10,18,16,14,14,13,10,10,7,18,11,13,9,15,6,15,15,17,17,8,9,16,14,12,12,17,15,4,16,13,12,1,17,7,12,13,17,3,11,7,14,8,16,8,16,1,4,1,3,5,11,2,16,12,7,8,9,16,1,12,15,1,15,2,15,11,5,15,10,6,11,1,6,1,3,10,6,17,9,11,9,6,8,6,1,13,7,13,3,3,3,5,3,1,9,4,12,14,1,11,3,1,16,5,15,14,3,13,17,7,17,15,17,15,15,7,17,12,16,11,15,15,10,18,4,6,16,17,16,12,5,6,9,16,12,17,18,18,16,14,16,16,9,15,8,12,10,15,17,11,12,16,13,18,17,12,14,12,9,13,6,18,10,12,5,7,7,15,15,13,17,7,9,12,13,12,16,17,14,4,16,13,17
E,10,4,14,2,1,12,3,7,17,4,9,5,15,14,9,15,12,9,12,12,13,6,8,3,17,18,11,10,7,9,15,6,9,14,9,6,5,7,3,12,11,2,3,3,17,18,10,10,7,4,8,15,10,7,14,6,12,12,13,12,11,12,6,10,1,13,11,6,7,3,8,5,3,8,7,5,7,8,5,10,1,15,4,2,15,5,6,7,11,1,9,4,5,3,17,1,13,7,1,13,3,17,18,10,7,3,2,5,13,10,1,7,3,9,1,14,1,1,10,4,3,1,6,5,2,3,11,2,6,1,17,9,10,1,8,2,4,9,9,1,7,17,4,1,2,4,1,2,1,1,6,1,10,1,14,4,2,13,1,14,13,9,9,8,15,14,12,16,12,9,14,12,12,10,5,15,15,17,7,7,11,15,9,12,8,13,10,10,7,5,7,16,13,2,4,2,14,18,14,11,3,8,7,17,10,7,17,10,10,14,14,10,9,12,9,13,5,11,6,7,9,4,7,5,4,12,4,7,12,3
F,16,12,15,1,7,17,16,17,2,14,16,9,18,18,14,8,12,17,12,10,16,15,16,16,14,14,5,13,14,14,14,9,8,10,11,12,9,10,14,16,12,15,14,10,15,12,8,15,17,14,15,13,17,11,1,5,16,17,9,13,16,14,15,17,2,13,13,10,14,14,12,12,9,13,7,16,13,12,16,2,7,16,8,15,7,15,14,11,10,16,14,6,15,16,12,2,15,14,17,15,16,11,15,11,12,14,16,8,6,8,17,16,12,13,11,16,5,14,16,13,13,12,12,15,18,14,16,16,17,12,5,16,16,13,8,9,16,11,15,17,13,11,4,17,14,15,11,8,13,13,4,15,17,10,14,9,7,15,14,16,4,16,15,9,18,18,15,13,8,17,12,8,13,13,13,18,16,9,3,9,14,13,14,9,6,11,12,14,13,13,12,15,15,14,12,15,16,12,11,17,16,17,16,13,17,13,9,6,13,17,8,14,15,14,16,12,7,14,10,8,16,13,12,10,9,13,11,16,13,13
G,18,14,18,16,7,18,18,17,15,17,16,16,17,16,16,18,17,18,16,17,17,17,18,17,18,16,16,18,17,18,17,17,15,17,18,17,17,13,18,17,18,12,18,15,18,17,18,18,16,18,18,18,17,16,18,18,14,18,18,17,18,16,18,18,18,18,18,14,18,14,12,12,17,17,14,16,13,18,5,16,7,16,18,7,17,17,15,18,13,14,14,1,17,17,17,13,15,17,16,18,18,13,17,16,9,13,18,17,2,15,18,11,16,13,18,14,18,11,18,16,18,15,15,13,12,15,18,18,17,14,18,18,14,16,18,12,18,10,16,18,18,18,4,15,18,15,11,10,13,15,9,15,13,17,18,16,7,18,18,18,14,18,17,16,16,17,18,18,16,18,16,18,16,17,18,16,18,8,15,17,16,17,17,17,16,17,18,16,18,15,18,17,17,13,18,16,18,17,12,18,11,16,18,18,17,18,18,18,15,18,18,16,18,15,17,16,17,18,18,15,18,13,12,15,17,17,11,16,13,18
H,17,16,16,13,7,15,15,15,18,13,12,14,14,8,16,9,11,13,11,16,15,17,13,15,11,7,17,16,16,16,13,13,14,11,15,5,18,17,16,6,15,17,12,14,10,9,7,14,12,12,10,17,12,14,12,1,17,14,13,4,9,13,12,14,15,15,11,13,8,14,12,9,9,16,13,15,18,17,2,6,7,7,3,14,4,12,11,16,17,5,7,13,8,6,2,16,11,17,18,7,4,12,16,16,12,18,1,17,3,1,7,9,18,13,16,4,16,18,6,12,11,12,18,17,14,18,14,17,13,13,11,1,18,11,3,7,15,11,3,15,7,15,3,4,6,15,11,8,13,17,17,14,14,1,16,12,7,8,16,8,17,12,12,14,17,14,9,10,14,12,2,15,16,17,15,2,17,12,13,17,15,18,6,11,14,12,14,10,17,17,16,10,16,18,6,13,5,11,13,15,14,11,13,16,13,14,14,4,15,12,14,5,17,13,12,14,17,16,12,12,12,13,12,16,9,15,13,15,18,8
I,2,8,1,11,3,6,10,1,5,3,5,12,4,1,1,1,7,2,7,2,6,14,1,8,5,13,2,10,4,3,6,4,5,3,7,3,3,7,11,1,7,2,4,1,2,11,1,17,2,6,4,8,5,3,7,3,10,2,2,7,5,4,8,2,2,3,6,3,9,6,3,3,3,5,7,2,2,3,8,7,3,5,7,15,11,7,5,6,9,6,4,3,10,14,15,5,7,2,2,1,10,9,2,15,4,5,10,1,18,12,13,3,7,3,13,5,7,7,7,3,5,11,5,8,7,10,4,12,2,4,8,8,8,8,12,15,7,5,5,8,1,4,4,8,9,7,6,6,7,2,9,5,3,12,2,11,2,3,9,3,3,1,5,11,3,1,6,1,5,2,6,1,2,11,1,5,3,6,2,12,4,3,12,4,5,2,5,3,3,6,10,1,6,4,1,3,6,8,1,14,7,7,4,3,1,2,10,5,10,2,3,7,6,5,1,2,7,1,9,2,10,2,7,5,4,3,4,1,3,3
J,13,13,1,14,7,7,12,1,16,6,10,4,12,8,7,3,8,4,3,9,14,9,5,5,15,10,3,6,12,16,8,3,3,7,4,1,8,4,4,7,6,6,9,8,6,16,9,6,8,2,9,11,14,3,15,2,5,4,8,4,2,11,5,16,11,12,3,7,4,6,5,6,3,3,14,7,4,15,13,8,7,13,9,18,13,12,9,5,5,8,16,9,2,10,15,13,10,9,10,7,15,15,6,8,12,7,14,4,14,11,11,3,10,13,5,6,15,5,13,14,16,18,15,15,11,11,6,6,11,5,2,12,11,9,13,16,5,15,12,13,7,15,4,5,6,8,6,7,5,8,15,12,8,6,4,6,7,6,12,2,18,7,11,4,13,7,13,3,13,7,3,9,15,8,9,9,14,14,4,6,9,14,13,2,1,6,7,2,6,2,3,4,8,5,3,11,3,16,9,2,10,5,11,11,14,4,11,13,12,4,12,4,5,1,4,17,7,11,4,5,5,4,7,7,1,5,13,11,4,15
K,11,9,12,7,7,9,9,5,11,1,16,11,12,11,13,17,16,11,15,5,8,11,11,13,6,12,13,9,17,15,11,7,6,17,15,12,12,4,8,8,2,11,11,16,16,13,12,12,10,7,15,6,15,15,10,11,13,15,9,14,9,10,10,9,15,5,8,12,15,8,5,9,9,17,7,13,9,8,9,5,7,14,17,5,10,6,15,2,12,7,16,16,13,5,13,4,14,4,7,12,9,15,13,12,17,15,3,6,11,15,14,11,17,18,5,13,9,11,3,10,13,15,13,11,5,5,15,7,16,14,14,4,16,14,8,11,8,16,13,11,16,13,4,14,6,11,6,13,7,17,7,2,12,4,12,2,7,11,13,13,11,4,15,13,7,9,17,11,17,12,15,10,10,7,8,6,1,11,16,7,18,16,11,6,6,15,14,14,11,4,5,11,3,10,7,10,17,15,5,10,11,2,15,4,16,16,15,6,15,12,8,17,14,10,7,10,13,11,10,17,8,7,4,7,9,18,4,11,8,9
L,15,18,17,15,3,3,6,14,14,12,15,17,7,13,18,16,18,11,18,13,17,15,15,12,12,11,12,12,8,12,2,10,15,16,13,17,14,4,7,18,16,9,10,18,14,6,15,16,14,17,17,5,16,16,8,7,3,16,16,14,17,17,2,12,11,9,13,11,16,12,12,17,9,14,14,14,16,7,11,15,3,4,11,13,5,10,15,17,13,16,16,4,18,8,14,6,15,16,15,11,13,17,10,14,12,12,5,12,3,15,14,16,14,17,2,16,17,9,15,11,6,17,15,18,1,17,17,5,15,17,7,4,4,16,17,9,16,16,18,14,7,13,4,16,14,15,11,13,13,3,18,15,16,14,17,15,2,12,2,15,16,11,17,17,1,12,14,9,18,12,16,17,18,14,14,3,13,17,14,13,7,4,3,8,14,17,13,16,9,3,3,18,14,8,9,18,14,4,18,11,11,10,17,6,14,16,3,10,4,14,17,13,16,17,3,3,13,7,14,11,17,13,12,10,9,16,13,14,16,13
M,7,10,10,8,7,14,4,9,8,16,2,15,9,10,11,11,8,14,2,5,7,8,3,10,7,3,17,15,9,12,4,15,12,8,2,6,7,16,5,15,17,14,16,5,9,9,17,12,4,4,13,16,4,16,9,17,2,6,1,8,14,1,15,4,9,8,8,18,9,18,8,9,9,7,7,7,7,16,15,4,7,2,12,11,6,2,4,8,6,11,3,10,6,7,7,12,4,6,6,5,11,2,5,7,8,9,7,14,11,7,11,3,4,4,2,6,10,16,13,2,16,6,4,12,15,4,5,4,4,8,15,17,3,4,1,4,10,1,14,5,1,2,4,3,3,6,11,13,13,10,9,4,4,13,8,5,7,14,6,10,9,10,2,15,7,10,1,11,7,15,1,3,5,6,2,11,8,2,18,15,8,6,2,15,12,9,7,7,8,16,8,12,17,15,16,4,12,6,16,16,1,5,14,15,3,14,4,17,2,5,1,7,12,1,18,3,7,8,13,16,7,18,7,10,9,7,4,10,11,16
N,5,1,7,8,3,1,1,7,7,2,1,2,6,2,11,2,1,1,8,7,3,7,2,4,1,4,7,2,6,11,5,13,7,13,7,3,10,11,9,13,9,8,1,7,4,2,2,2,15,1,2,4,1,6,6,7,6,4,2,1,3,2,2,3,2,10,3,8,6,2,5,3,3,10,6,9,4,4,7,2,3,11,2,1,9,3,1,3,4,3,5,7,4,1,4,9,1,3,2,3,1,4,4,2,6,5,8,11,17,4,3,3,8,8,7,6,11,4,2,5,11,2,3,14,3,6,2,10,3,3,1,4,5,2,7,1,1,2,2,4,7,5,4,2,1,4,3,5,1,7,9,10,5,8,5,1,2,4,7,4,2,2,3,2,10,4,4,2,2,1,6,5,4,3,4,1,2,3,10,4,6,8,8,14,11,7,7,4,12,12,8,9,9,6,2,8,13,7,3,5,17,2,9,9,5,6,2,6,5,8,3,2,2,3,5,9,13,10,4,10,6,2,4,4,1,6,13,7,6,6
O,3,11,4,4,3,1,2,6,12,5,3,3,3,5,10,6,4,5,9,15,4,2,12,11,4,15,9,1,4,7,11,5,10,2,4,6,10,13,10,11,5,5,5,6,3,5,5,9,13,10,10,6,1,12,17,16,14,13,2,3,12,8,11,5,11,7,13,5,9,4,12,7,9,6,3,11,12,6,10,1,3,10,16,3,2,8,2,1,1,9,2,7,15,10,10,11,9,10,11,9,2,6,6,1,5,15,4,10,9,2,3,1,12,7,10,2,14,3,3,9,7,5,2,2,3,12,7,15,5,11,16,12,14,6,3,16,11,4,4,2,15,6,4,10,9,8,11,13,7,4,7,6,1,5,3,2,2,4,9,1,12,3,4,6,2,5,2,3,6,6,10,11,3,4,11,3,6,13,12,1,5,2,7,4,9,3,3,8,9,14,12,7,1,1,9,7,2,5,4,9,9,4,8,7,2,9,16,14,13,11,3,3,12,9,11,6,7,4,15,4,12,4,12,9,9,4,3,9,10,10
P,9,15,8,6,7,10,17,9,10,9,12,6,10,7,14,4,5,16,5,11,5,4,7,6,2,17,14,14,10,5,15,16,15,12,4,6,6,9,13,14,10,9,16,4,13,15,15,5,1,15,2,2,8,7,5,14,11,10,6,11,1,17,13,6,9,6,13,16,9,10,2,12,3,11,14,11,10,11,14,9,7,8,15,9,14,4,11,8,18,14,12,10,9,15,9,15,6,4,9,4,7,13,3,13,18,4,6,16,3,6,10,11,2,11,14,18,7,9,17,8,13,12,14,10,6,2,2,11,13,7,11,10,8,11,3,6,6,16,17,8,5,10,18,8,9,10,4,13,7,5,9,13,11,7,9,14,7,16,17,6,5,14,12,9,5,6,16,6,11,16,11,16,9,12,10,13,6,15,16,13,10,10,14,16,17,10,5,10,4,7,14,13,10,8,17,6,10,14,8,7,2,13,2,2,9,11,6,14,8,9,3,11,4,17,13,8,4,5,15,18,10,8,2,10,4,11,13,11,9,11
Q,14,7,11,10,7,5,13,12,6,7,6,7,16,6,8,7,10,10,6,7,10,5,6,9,3,2,9,6,1,2,10,2,13,6,9,14,4,1,5,2,1,7,8,9,8,4,6,7,11,13,6,11,11,9,12,13,9,7,9,10,7,5,1,6,8,11,6,16,9,8,4,12,9,9,7,3,1,12,17,10,7,6,9,10,16,16,8,3,13,10,6,14,11,9,8,10,8,7,8,6,6,10,10,4,1,8,11,2,7,14,8,11,1,2,2,3,1,6,9,15,7,8,1,4,13,16,8,13,12,14,4,12,6,3,8,8,11,13,10,12,5,8,4,13,14,12,4,11,7,8,9,7,6,11,11,7,7,9,8,8,7,5,8,7,14,8,9,13,10,11,9,7,8,2,7,14,4,10,11,11,2,5,16,3,12,5,10,10,4,7,6,2,2,7,11,5,9,2,1,4,15,13,6,10,11,7,7,16,6,7,8,12,7,6,2,6,5,9,7,14,12,8,1,10,9,8,4,4,2,5
R,8,6,9,12,7,16,4,13,4,18,7,1,8,14,6,12,14,8,1,4,9,10,10,6,8,5,14,4,13,3,9,12,11,5,15,6,12,15,2,4,13,18,13,11,7,3,12,8,5,11,5,9,7,12,16,14,8,8,16,16,8,8,4,11,11,15,17,14,3,13,12,18,9,12,14,10,11,10,18,14,7,1,5,8,12,1,15,12,7,13,1,15,12,10,11,17,3,12,12,9,4,5,1,3,11,9,13,3,16,9,5,2,9,1,9,1,4,14,7,17,7,7,6,3,9,13,10,14,8,2,3,10,7,5,13,14,14,6,8,15,4,2,17,17,5,13,11,18,7,11,15,3,7,15,10,13,7,6,5,12,1,17,10,1,7,11,7,8,8,8,5,2,6,4,3,12,10,3,8,4,11,10,9,13,10,8,14,6,14,11,1,5,11,17,14,11,8,1,7,7,5,9,3,12,7,12,11,3,7,5,14,18,10,8,10,11,12,14,17,13,4,11,12,18,9,10,13,3,7,11
